timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:20.134121,catalogo,eventual,5.204677581787109,True,
2025-07-31T22:20:20.194020,catalogo,eventual,8.910894393920898,True,
2025-07-31T22:20:20.247872,catalogo,eventual,3.5800933837890625,True,
2025-07-31T22:20:20.303214,catalogo,eventual,5.187511444091797,True,
2025-07-31T22:20:20.358026,catalogo,eventual,4.624366760253906,True,
2025-07-31T22:20:20.412000,catalogo,eventual,3.789663314819336,True,
2025-07-31T22:20:20.465772,catalogo,eventual,3.4770965576171875,True,
2025-07-31T22:20:20.520227,catalogo,eventual,4.235744476318359,True,
2025-07-31T22:20:20.574567,catalogo,eventual,4.167318344116211,True,
2025-07-31T22:20:20.628887,catalogo,eventual,4.0988922119140625,True,
2025-07-31T22:20:20.683509,catalogo,eventual,4.372835159301758,True,
2025-07-31T22:20:20.739865,catalogo,eventual,6.121397018432617,True,
2025-07-31T22:20:20.795641,catalogo,eventual,5.555391311645508,True,
2025-07-31T22:20:20.850242,catalogo,eventual,4.463672637939453,True,
2025-07-31T22:20:20.905513,catalogo,eventual,5.120277404785156,True,
2025-07-31T22:20:20.959942,catalogo,eventual,4.220485687255859,True,
2025-07-31T22:20:21.014642,catalogo,eventual,4.585027694702148,True,
2025-07-31T22:20:21.068901,catalogo,eventual,4.066705703735352,True,
2025-07-31T22:20:21.123684,catalogo,eventual,4.634857177734375,True,
2025-07-31T22:20:21.177679,catalogo,eventual,3.8352012634277344,True,
2025-07-31T22:20:21.233102,catalogo,eventual,5.258798599243164,True,
2025-07-31T22:20:21.287345,catalogo,eventual,4.035234451293945,True,
2025-07-31T22:20:21.342853,catalogo,eventual,5.317926406860352,True,
2025-07-31T22:20:21.401303,catalogo,eventual,8.043050765991211,True,
2025-07-31T22:20:21.458207,catalogo,eventual,6.557941436767578,True,
2025-07-31T22:20:21.516337,catalogo,eventual,7.709741592407227,True,
2025-07-31T22:20:21.572386,catalogo,eventual,5.699872970581055,True,
2025-07-31T22:20:21.631477,catalogo,eventual,8.548736572265625,True,
2025-07-31T22:20:21.686518,catalogo,eventual,4.723548889160156,True,
2025-07-31T22:20:21.743088,catalogo,eventual,6.208658218383789,True,
2025-07-31T22:20:21.797726,catalogo,eventual,4.452228546142578,True,
2025-07-31T22:20:21.853408,catalogo,eventual,5.49626350402832,True,
2025-07-31T22:20:21.907980,catalogo,eventual,4.376649856567383,True,
2025-07-31T22:20:21.964274,catalogo,eventual,6.084203720092773,True,
2025-07-31T22:20:22.022504,catalogo,eventual,7.812738418579102,True,
2025-07-31T22:20:22.081153,catalogo,eventual,8.195161819458008,True,
2025-07-31T22:20:22.139580,catalogo,eventual,7.999897003173828,True,
2025-07-31T22:20:22.198156,catalogo,eventual,8.183717727661133,True,
2025-07-31T22:20:22.252276,catalogo,eventual,3.844022750854492,True,
2025-07-31T22:20:22.307164,catalogo,eventual,4.59599494934082,True,
2025-07-31T22:20:22.361641,catalogo,eventual,4.357814788818359,True,
2025-07-31T22:20:22.415215,catalogo,eventual,3.355741500854492,True,
2025-07-31T22:20:22.468792,catalogo,eventual,3.3414363861083984,True,
2025-07-31T22:20:22.522436,catalogo,eventual,3.4270286560058594,True,
2025-07-31T22:20:22.580540,catalogo,eventual,7.576227188110352,True,
