timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:23.152402,avaliacoes,eventual,6.599187850952148,True,
2025-07-31T22:20:23.212189,avaliacoes,eventual,9.443044662475586,True,
2025-07-31T22:20:23.270458,avaliacoes,eventual,7.863521575927734,True,
2025-07-31T22:20:23.327679,avaliacoes,eventual,6.855487823486328,True,
2025-07-31T22:20:23.386659,avaliacoes,eventual,8.6517333984375,True,
2025-07-31T22:20:23.440903,avaliacoes,eventual,4.052400588989258,True,
2025-07-31T22:20:23.495275,avaliacoes,eventual,4.1141510009765625,True,
2025-07-31T22:20:23.553638,avaliacoes,eventual,8.020877838134766,True,
2025-07-31T22:20:23.608726,avaliacoes,eventual,4.627466201782227,True,
2025-07-31T22:20:23.665584,avaliacoes,eventual,6.5460205078125,True,
2025-07-31T22:20:23.720609,avaliacoes,eventual,4.689455032348633,True,
2025-07-31T22:20:23.779418,avaliacoes,eventual,8.399248123168945,True,
2025-07-31T22:20:23.837921,avaliacoes,eventual,8.165121078491211,True,
2025-07-31T22:20:23.896505,avaliacoes,eventual,8.306264877319336,True,
2025-07-31T22:20:23.952657,avaliacoes,eventual,5.969762802124023,True,
2025-07-31T22:20:24.008676,avaliacoes,eventual,5.805015563964844,True,
2025-07-31T22:20:24.064259,avaliacoes,eventual,5.4340362548828125,True,
2025-07-31T22:20:24.119542,avaliacoes,eventual,5.028486251831055,True,
2025-07-31T22:20:24.177487,avaliacoes,eventual,7.618427276611328,True,
2025-07-31T22:20:24.235105,avaliacoes,eventual,7.294416427612305,True,
2025-07-31T22:20:24.294948,avaliacoes,eventual,9.479999542236328,True,
2025-07-31T22:20:24.354011,avaliacoes,eventual,8.627176284790039,True,
2025-07-31T22:20:24.408629,avaliacoes,eventual,4.380941390991211,True,
2025-07-31T22:20:24.463449,avaliacoes,eventual,4.613637924194336,True,
2025-07-31T22:20:24.518095,avaliacoes,eventual,4.349231719970703,True,
2025-07-31T22:20:24.573584,avaliacoes,eventual,5.136251449584961,True,
2025-07-31T22:20:24.629968,avaliacoes,eventual,6.058931350708008,True,
2025-07-31T22:20:24.685103,avaliacoes,eventual,4.726886749267578,True,
2025-07-31T22:20:24.742943,avaliacoes,eventual,7.516145706176758,True,
2025-07-31T22:20:24.800664,avaliacoes,eventual,7.392644882202148,True,
2025-07-31T22:20:24.858281,avaliacoes,eventual,7.198572158813477,True,
2025-07-31T22:20:24.917192,avaliacoes,eventual,8.63957405090332,True,
2025-07-31T22:20:24.976277,avaliacoes,eventual,8.708477020263672,True,
2025-07-31T22:20:25.035949,avaliacoes,eventual,9.281396865844727,True,
2025-07-31T22:20:25.094620,avaliacoes,eventual,8.443117141723633,True,
2025-07-31T22:20:25.149002,avaliacoes,eventual,4.051446914672852,True,
2025-07-31T22:20:25.203239,avaliacoes,eventual,3.8824081420898438,True,
2025-07-31T22:20:25.261524,avaliacoes,eventual,7.886409759521484,True,
2025-07-31T22:20:25.321850,avaliacoes,eventual,9.900569915771484,True,
2025-07-31T22:20:25.378946,avaliacoes,eventual,6.731271743774414,True,
2025-07-31T22:20:25.437896,avaliacoes,eventual,8.586645126342773,True,
2025-07-31T22:20:25.496430,avaliacoes,eventual,8.16798210144043,True,
2025-07-31T22:20:25.551840,avaliacoes,eventual,5.095005035400391,True,
2025-07-31T22:20:25.612220,avaliacoes,eventual,9.966135025024414,True,
2025-07-31T22:20:25.672402,avaliacoes,eventual,9.703874588012695,True,
2025-07-31T22:20:25.726786,avaliacoes,eventual,4.149675369262695,True,
2025-07-31T22:20:25.785231,avaliacoes,eventual,8.08095932006836,True,
2025-07-31T22:20:25.842185,avaliacoes,eventual,6.578207015991211,True,
2025-07-31T22:20:25.901304,avaliacoes,eventual,8.761882781982422,True,
2025-07-31T22:20:25.959251,avaliacoes,eventual,7.79414176940918,True,
2025-07-31T22:20:26.014636,avaliacoes,eventual,4.972219467163086,True,
2025-07-31T22:20:26.070213,avaliacoes,eventual,5.320072174072266,True,
2025-07-31T22:20:26.126298,avaliacoes,eventual,5.887508392333984,True,
2025-07-31T22:20:26.181919,avaliacoes,eventual,5.457639694213867,True,
2025-07-31T22:20:26.235507,avaliacoes,eventual,3.4372806549072266,True,
2025-07-31T22:20:26.291466,avaliacoes,eventual,5.566120147705078,True,
2025-07-31T22:20:26.349530,avaliacoes,eventual,7.733821868896484,True,
2025-07-31T22:20:26.408359,avaliacoes,eventual,8.405685424804688,True,
2025-07-31T22:20:26.466131,avaliacoes,eventual,7.496118545532227,True,
2025-07-31T22:20:26.523287,avaliacoes,eventual,6.898403167724609,True,
2025-07-31T22:20:26.580064,avaliacoes,eventual,6.461858749389648,True,
2025-07-31T22:20:26.640358,avaliacoes,eventual,9.93490219116211,True,
2025-07-31T22:20:26.694065,avaliacoes,eventual,3.475189208984375,True,
2025-07-31T22:20:26.753077,avaliacoes,eventual,8.664369583129883,True,
2025-07-31T22:20:26.809118,avaliacoes,eventual,5.565404891967773,True,
2025-07-31T22:20:26.867226,avaliacoes,eventual,7.778644561767578,True,
2025-07-31T22:20:26.926229,avaliacoes,eventual,8.658409118652344,True,
