timestamp,service,consistency,latency_ms,success,error_message,conflict_detected
2025-08-30T03:23:21.596798,avaliacoes,eventual,3131.479263305664,False,"HTTPConnectionPool(host='proxy', port=5000): Max retries exceeded with url: /write (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f6ffd9c2be0>: Failed to resolve 'proxy' ([Errno -2] Name or service not known)""))",False
2025-08-30T03:23:21.721323,avaliacoes,eventual,7.327795028686523,True,,False
2025-08-30T03:23:21.836157,avaliacoes,eventual,9.348154067993164,True,,False
2025-08-30T03:23:21.948228,avaliacoes,eventual,6.03938102722168,True,,False
2025-08-30T03:23:22.061346,avaliacoes,eventual,6.41632080078125,True,,False
2025-08-30T03:23:22.173109,avaliacoes,eventual,6.110191345214844,True,,False
2025-08-30T03:23:22.295223,avaliacoes,eventual,9.495019912719727,True,,False
2025-08-30T03:23:22.425709,avaliacoes,eventual,15.213966369628906,True,,False
2025-08-30T03:23:22.556162,avaliacoes,eventual,20.19190788269043,True,,False
2025-08-30T03:23:22.667485,avaliacoes,eventual,5.316972732543945,True,,False
2025-08-30T03:23:22.779810,avaliacoes,eventual,6.03795051574707,True,,False
2025-08-30T03:23:22.895690,avaliacoes,eventual,8.394241333007812,True,,False
2025-08-30T03:23:23.007907,avaliacoes,eventual,5.486011505126953,True,,False
2025-08-30T03:23:23.121889,avaliacoes,eventual,7.287025451660156,True,,False
2025-08-30T03:23:23.233084,avaliacoes,eventual,5.272150039672852,True,,False
2025-08-30T03:23:23.357638,avaliacoes,eventual,10.782241821289062,True,,False
2025-08-30T03:23:23.477752,avaliacoes,eventual,10.180473327636719,True,,False
2025-08-30T03:23:23.605329,avaliacoes,eventual,11.81650161743164,True,,False
2025-08-30T03:23:23.736791,avaliacoes,eventual,14.317750930786133,True,,False
2025-08-30T03:23:23.860223,avaliacoes,eventual,13.122320175170898,True,,False
2025-08-30T03:23:23.973058,avaliacoes,eventual,6.836891174316406,True,,False
2025-08-30T03:23:24.086732,avaliacoes,eventual,7.186174392700195,True,,False
2025-08-30T03:23:24.200600,avaliacoes,eventual,7.90715217590332,True,,False
2025-08-30T03:23:24.313199,avaliacoes,eventual,6.611824035644531,True,,False
2025-08-30T03:23:24.434853,avaliacoes,eventual,9.231328964233398,True,,False
2025-08-30T03:23:24.553902,avaliacoes,eventual,8.132219314575195,True,,False
2025-08-30T03:23:24.673933,avaliacoes,eventual,9.241342544555664,True,,False
2025-08-30T03:23:24.788501,avaliacoes,eventual,7.766008377075195,True,,False
2025-08-30T03:23:24.903964,avaliacoes,eventual,9.353160858154297,True,,False
2025-08-30T03:23:25.020667,avaliacoes,eventual,10.187387466430664,True,,False
2025-08-30T03:23:25.154850,avaliacoes,eventual,16.789674758911133,True,,False
2025-08-30T03:23:25.290365,avaliacoes,eventual,11.468172073364258,True,,False
2025-08-30T03:23:25.427915,avaliacoes,eventual,23.879528045654297,True,,False
2025-08-30T03:23:25.555326,avaliacoes,eventual,14.132022857666016,True,,False
2025-08-30T03:23:25.672242,avaliacoes,eventual,9.552240371704102,True,,False
2025-08-30T03:23:25.782226,avaliacoes,eventual,4.77910041809082,True,,False
2025-08-30T03:23:25.893065,avaliacoes,eventual,5.176544189453125,True,,False
2025-08-30T03:23:26.003940,avaliacoes,eventual,5.12385368347168,True,,False
2025-08-30T03:23:26.131508,avaliacoes,eventual,14.721393585205078,True,,False
2025-08-30T03:23:26.241804,avaliacoes,eventual,4.647254943847656,True,,False
2025-08-30T03:23:26.353005,avaliacoes,eventual,4.837751388549805,True,,False
2025-08-30T03:23:26.462654,avaliacoes,eventual,4.3506622314453125,True,,False
2025-08-30T03:23:26.586832,avaliacoes,eventual,11.596202850341797,True,,False
2025-08-30T03:23:26.711209,avaliacoes,eventual,11.927604675292969,True,,False
2025-08-30T03:23:26.821022,avaliacoes,eventual,4.858970642089844,True,,False
2025-08-30T03:23:26.930577,avaliacoes,eventual,4.57453727722168,True,,False
2025-08-30T03:23:27.040250,avaliacoes,eventual,4.459381103515625,True,,False
2025-08-30T03:23:27.164515,avaliacoes,eventual,11.79814338684082,True,,False
2025-08-30T03:23:27.280250,avaliacoes,eventual,7.639408111572266,True,,False
2025-08-30T03:23:27.393595,avaliacoes,eventual,6.719827651977539,True,,False
2025-08-30T03:23:27.506744,avaliacoes,eventual,6.53386116027832,True,,False
2025-08-30T03:23:27.621914,avaliacoes,eventual,6.917476654052734,True,,False
2025-08-30T03:23:27.734577,avaliacoes,eventual,5.670070648193359,True,,False
2025-08-30T03:23:27.851120,avaliacoes,eventual,6.917476654052734,True,,False
2025-08-30T03:23:27.963505,avaliacoes,eventual,5.522251129150391,True,,False
2025-08-30T03:23:28.075481,avaliacoes,eventual,4.999399185180664,True,,False
2025-08-30T03:23:28.189558,avaliacoes,eventual,6.823539733886719,True,,False
2025-08-30T03:23:28.303528,avaliacoes,eventual,7.022857666015625,True,,False
2025-08-30T03:23:28.442035,avaliacoes,eventual,15.94090461730957,True,,False
2025-08-30T03:23:28.581570,avaliacoes,eventual,20.711660385131836,True,,False
2025-08-30T03:23:28.718579,avaliacoes,eventual,24.50704574584961,True,,False
2025-08-30T03:23:28.835321,avaliacoes,eventual,8.126497268676758,True,,False
2025-08-30T03:23:28.951043,avaliacoes,eventual,8.069992065429688,True,,False
2025-08-30T03:23:29.066321,avaliacoes,eventual,7.319211959838867,True,,False
2025-08-30T03:23:29.176138,avaliacoes,eventual,4.3792724609375,True,,False
2025-08-30T03:23:29.286138,avaliacoes,eventual,4.548549652099609,True,,False
2025-08-30T03:23:29.395864,avaliacoes,eventual,4.555463790893555,True,,False
2025-08-30T03:23:29.506417,avaliacoes,eventual,5.220651626586914,True,,False
